   PID TTY          TIME CMD
     1 ?        00:00:01 systemd
     2 ?        00:00:00 kthreadd
     4 ?        00:00:00 kworker/0:0H
     6 ?        00:00:00 mm_percpu_wq
     7 ?        00:00:00 ksoftirqd/0
     8 ?        00:00:05 rcu_sched
     9 ?        00:00:00 rcu_bh
    10 ?        00:00:00 migration/0
    11 ?        00:00:00 watchdog/0
    12 ?        00:00:00 cpuhp/0
    13 ?        00:00:00 kdevtmpfs
    14 ?        00:00:00 netns
    15 ?        00:00:00 rcu_tasks_kthre
    16 ?        00:00:00 kauditd
    17 ?        00:00:00 khungtaskd
    18 ?        00:00:00 oom_reaper
    19 ?        00:00:00 writeback
    20 ?        00:00:00 kcompactd0
    21 ?        00:00:00 ksmd
    22 ?        00:00:00 khugepaged
    23 ?        00:00:00 crypto
    24 ?        00:00:00 kintegrityd
    25 ?        00:00:00 kblockd
    26 ?        00:00:00 ata_sff
    27 ?        00:00:00 md
    28 ?        00:00:00 edac-poller
    29 ?        00:00:00 devfreq_wq
    30 ?        00:00:00 watchdogd
    34 ?        00:00:00 kswapd0
    35 ?        00:00:00 ecryptfs-kthrea
    77 ?        00:00:00 kthrotld
    78 ?        00:00:00 acpi_thermal_pm
    79 ?        00:00:00 scsi_eh_0
    80 ?        00:00:00 scsi_tmf_0
    81 ?        00:00:00 scsi_eh_1
    82 ?        00:00:00 scsi_tmf_1
    88 ?        00:00:00 ipv6_addrconf
    98 ?        00:00:00 kstrp
   115 ?        00:00:00 charger_manager
   169 ?        00:00:00 mpt_poll_0
   170 ?        00:00:00 mpt/0
   201 ?        00:00:00 scsi_eh_2
   202 ?        00:00:00 scsi_tmf_2
   203 ?        00:00:00 scsi_eh_3
   204 ?        00:00:00 scsi_tmf_3
   205 ?        00:00:00 scsi_eh_4
   206 ?        00:00:00 scsi_tmf_4
   207 ?        00:00:00 scsi_eh_5
   208 ?        00:00:00 scsi_tmf_5
   209 ?        00:00:00 scsi_eh_6
   210 ?        00:00:00 scsi_tmf_6
   211 ?        00:00:00 scsi_eh_7
   212 ?        00:00:00 scsi_tmf_7
   213 ?        00:00:00 scsi_eh_8
   214 ?        00:00:00 scsi_tmf_8
   215 ?        00:00:00 scsi_eh_9
   216 ?        00:00:00 scsi_tmf_9
   217 ?        00:00:00 scsi_eh_10
   218 ?        00:00:00 scsi_tmf_10
   219 ?        00:00:00 scsi_eh_11
   220 ?        00:00:00 scsi_tmf_11
